face_req_time,face_end_time,face_dow_thrp,iter_id,sid,fid,face_br,face_size,face_ini_weight,face_late
37521.16,37648.00,19395.82,0,64,38,16,400,400.00,20.00
37521.29,37668.65,19441.07,0,64,38,21,400,400.00,20.00
37521.42,37709.57,9793.36,0,64,38,22,400,400.00,20.00
37521.54,37730.27,19409.00,0,64,38,23,400,400.00,20.00
37521.67,37750.93,19428.79,0,64,38,24,400,400.00,20.00
38552.23,38596.88,19327.41,0,65,39,1,400,400.00,20.00
38552.39,38617.64,19387.36,0,65,39,2,400,400.00,20.00
38552.54,38658.53,9805.12,0,65,39,3,400,400.00,20.00
38552.70,38679.14,19491.28,0,65,39,4,400,400.00,20.00
38552.85,38699.71,19516.96,0,65,39,14,400,400.00,20.00
38553.00,38740.78,9759.67,0,65,39,16,400,400.00,20.00
38553.15,38761.42,19442.96,0,65,39,21,400,400.00,20.00
38553.30,38782.19,19337.68,0,65,39,23,400,400.00,20.00
